name,rating,review_time,variant,comment,like_count
K***i,5,5 bulan lalu,,"akhirnya bisa yt an, mantap barangnya ...",3
E***i,5,Lebih dari 1 tahun lalu,,"kualitas ok, fisik mulus, muaskan banget",3
Deni,5,Lebih dari 1 tahun lalu,,barang Bagus Alhamdulilah 🥰🥰🥰,5
syaikhudin,5,6 bulan lalu,Varian: A 32 Pro,baranga original dapet garansi resmi aplikssi gampang pemasangan mudah  suara bagus design keren mantap,0
Ihsanudin,5,8 bulan lalu,Varian: A 32 Pro,"barang ORI, masih segel (lakban nggak dobel), pengiriman cepat, good seller 👍",1
M***d,5,4 minggu lalu,Varian: NEW! TV A 32 Pro 2026,"Barang sesuai deskripsi, sudah dicoba semua fungsi normal, pengiriman cepat sehari sampe, thx seller sukses selalu",2
Dedy,4,Lebih dari 1 tahun lalu,,"Klo TV setelah dicoba hidup ga masalah, hanya ternyata ga bisa ditempatkan di dinding dengan braket (ga ada buat braketnya)",3
M***M,5,5 bulan lalu,,"barang sesuai, kualitas pengirimannya oke banget dan produk sesuai dengan di deskripsi",2
Pupus,5,9 bulan lalu,,"barangnya bagus, langsung pakai dan ada garansinya",0
caca,5,7 bulan lalu,Varian: A 32 Pro,"pengiriman lama
admin slow respon
packing kurang aman
tapi pengiriman aman dan barang sesuai",1
Juniardi,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,"barang sdh sampai, mantap, barang sesuai spek, mudah2an awet, terima kasih Xiaomi Indonesia",0
I***n,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,"barang sampe aman, belum ada masalah. mudah mudahan awet",1
Dio,5,Lebih dari 1 tahun lalu,,"Tv berfungsi dengan baik, semua normal, layar bagus kualitas suara juga bagus.",2
y***o,5,Lebih dari 1 tahun lalu,,"Proses pengiriman cepat, barang diteriman aman ditujuan. Barang mantap sesuai deskripsi ...",1
D***e,5,Lebih dari 1 tahun lalu,,"barang datang dengan baik,meski packing seadanya tapi aman ga ada yang lecet,pengirimannya juga cepat thanks all",7
Dani,5,Lebih dari 1 tahun lalu,,"TV sudah diterima dengan baik, aman dan selamat. 
pengiriman super cepat, kualitas ori. 
TV berfungsi dengan baik. 
yang lagi nyari TV rekomendasi disini saja
Terimakasih",2
y***o,5,Lebih dari 1 tahun lalu,,"pengiriman cepat, barang diterima utuh sesuai deskripsi....blm dicoba smg berfungsi baik dan awet",0
D***a,5,Lebih dari 1 tahun lalu,,"Opsi Google TV perfotma tinggi dengan harga terjangkau, pantas saja laris. Meskipun warna layarnya kurang keluar dibandingkan TCL atau Cooca, suara speakernya sangat mant...",1
Patrizzia,5,Lebih dari 1 tahun lalu,,"packing aman, barang ga ada lecet, semua berfungsi.",1
Vida,5,Lebih dari 1 tahun lalu,,"Barang original, pengiriman aman, pemasangan mudah",1
mufid,5,Lebih dari 1 tahun lalu,,barang sampai dengan selamat dan berfungsi dengan baik sesuai deskripsi,5
Mochamad,5,Lebih dari 1 tahun lalu,,"Barang Original, berfungsi dengan baik sesuai dengan spesifikasi, sempat kecewa karena paket gagal kirim selama 2 hari dikarenakan kurir, tapi sampai di rumah tepat waktu...",21
M***d,5,Lebih dari 1 tahun lalu,,Barang bagus pengiriman cepat,0
Edisuyitno,5,Lebih dari 1 tahun lalu,,"barang ori 
mantap joss pokonya
pengiriman juga cepet",1
isa,5,11 bulan lalu,,"semoga tahan lama. 
seller respon kilat. segera dikirim.",1
malika,5,Lebih dari 1 tahun lalu,,"barang aman, pesan senin datang jumat, thank you",5
E***h,5,Lebih dari 1 tahun lalu,,"mantap tv nya
sesuai expektasi 
thanks owner",0
Ghufron,5,10 bulan lalu,Varian: A 32 Pro,"pengiriman aman, bagus suara nya n lumayan kenceng berasa nonton bioskop. ini tv ke 2 beli xiomi tv 7 th lalu beli sampe sekarang masih awet ga ada msalh",6
F***l,5,3 minggu lalu,Varian: NEW! TV A 32 Pro 2026,Sampai dengan Selamat. Packing Minimalis.,0
Moch,5,11 bulan lalu,,"barang sudah sampai,alhamdulillah masih aman dan lancar,layar nya jernih,semuanya masih lancar,makasih",0
J***o,5,4 bulan lalu,,"barang ok pasangnya cepat,loginnya mudah,kartu garansinya ga ada,proses pengirimannya lama..proses tokonya cepat respon",1
